,0,1,2,3
original_firstorder_10Percentile_L3,0.027999999999999914,0.00799999999999981,0.05799999999999994,0.009999999999999962
original_firstorder_10Percentile_L4,0.011999999999999941,0.007999999999999872,0.06399999999999986,0.011999999999999868
original_firstorder_10Percentile_L5,0.019999999999999882,0.019999999999999955,0.03999999999999993,0.007999999999999933
original_firstorder_10Percentile_Complete,0.01799999999999996,0.005999999999999913,0.05399999999999992,0.00999999999999985
original_firstorder_90Percentile_L1,0.03199999999999899,0.0399999999999996,0.16399999999999854,0.00999999999999821
original_firstorder_90Percentile_L2,0.0019999999999987515,0.015999999999999577,0.07599999999999857,0.01599999999999875
original_firstorder_90Percentile_L3,-0.03800000000000167,-0.01200000000000257,0.07879999999992912,0.0019999999999979266
original_firstorder_90Percentile_L4,-0.02200000000000111,-0.010000000000000024,0.10799999999999856,-0.006000000000002192
original_firstorder_90Percentile_L5,0.007999999999998965,0.027999999999998353,0.13199999999999876,0.01599999999999793
original_firstorder_90Percentile_Complete,-0.002000000000001061,0.009999999999998704,0.11600000000000016,0.003999999999998328
original_firstorder_Energy_L1,3978297.1079998594,5704454.851999906,8933353.429999974,528309.0199999196
original_firstorder_Energy_L2,-455950.45200007124,2410173.7259999183,5497031.045999927,621508.3399999714
original_firstorder_Energy_L3,-2534050.088000204,189657.94399988503,7311421.56399993,2394.125999993958
original_firstorder_Energy_L4,-17148.96800009203,1519298.401999914,8598495.889999948,175412.9399999599
original_firstorder_Energy_L5,3209655.79999996,3940937.999999825,7574381.395999961,585072.0399999588
original_firstorder_Energy_Complete,4180803.3999992087,13764522.92399945,37914683.32599965,1912696.4659998093
original_firstorder_Entropy_L1,-0.00011022463082839985,-2.5414170976360132e-05,0.0001248558327402451,-4.8343575272935545e-05
original_firstorder_Entropy_L2,-0.0001225286246988137,-4.21380992233053e-05,1.0328790171219167e-05,-9.156714811149181e-05
original_firstorder_Entropy_L3,-0.00013090325980173094,-7.953176718195525e-05,7.67009900225901e-05,-5.806117167323527e-05
original_firstorder_Entropy_L4,-2.278224650211613e-05,-1.89478707736793e-05,8.844953865894791e-05,-9.949184073689613e-05
original_firstorder_Entropy_L5,-1.1970634943610805e-05,-3.746568106658194e-05,0.0001813640785484187,-6.954671930618633e-05
original_firstorder_Entropy_Complete,-8.308969444642428e-05,-3.682341854591656e-05,9.833960408733359e-05,-6.774819155116623e-05
original_firstorder_InterquartileRange_L1,-2.474313021514302e-16,0.013999999999999754,0.07599999999999939,0.003999999999999647
original_firstorder_InterquartileRange_L2,-0.0180000000000008,0.0039999999999994,0.06999999999999934,0.015999999999999247
original_firstorder_InterquartileRange_L3,-0.02600000000000092,-0.010000000000000519,0.07399999999999957,-4.1238550358571706e-16
original_firstorder_InterquartileRange_L4,-0.02000000000000079,-0.0020000000000003184,0.06999999999999999,-0.004000000000000637
original_firstorder_InterquartileRange_L5,-0.01400000000000091,-0.002000000000000483,0.11399999999999917,0.005999999999999882
original_firstorder_InterquartileRange_Complete,-0.006000000000000789,-5.773397050200038e-16,0.07999999999999928,-0.0020000000000001536
original_firstorder_Kurtosis_L1,7.405912030422049e-05,-7.845245822093036e-05,-0.001961275091314216,3.124179291394287e-05
original_firstorder_Kurtosis_L2,0.00056833397359664,0.0005214938765627968,-0.0010818843591089593,6.125490870417773e-05
original_firstorder_Kurtosis_L3,0.0006088739482936665,0.0005022832574787903,-0.0013017674713883538,0.00042315917436639707
original_firstorder_Kurtosis_L4,0.0004981264138370411,0.0003252300307192469,-0.0013832139941839026,0.0004154913673157366
original_firstorder_Kurtosis_L5,7.836661603899697e-05,0.00018767615319179582,-0.001888914282635377,0.00024199336783034536
original_firstorder_Kurtosis_Complete,0.00035867413456636474,0.00026802512172028156,-0.0015388353780416565,0.00023860588893792885
original_firstorder_Maximum_L1,0.12199999999999477,-0.22200000000000358,-0.37200000000000394,-3.62899243155431e-15
original_firstorder_Maximum_L2,-0.13000000000000264,0.0959999999999968,-0.04600000000000328,-0.10600000000000112
original_firstorder_Maximum_L3,0.33199999999999624,0.009999999999998375,0.06199999999999857,0.1759999999999993
original_firstorder_Maximum_L4,0.17199999999999785,0.09599999999999614,-0.1440000000000041,-0.2980000000000026
original_firstorder_Maximum_L5,-0.37200000000000194,-0.04800000000000368,-0.1260000000000025,0.11399999999999777
original_firstorder_Maximum_Complete,0.19799999999999512,-0.02400000000000217,-0.15000000000000333,-0.2840000000000015
original_firstorder_MeanAbsoluteDeviation_L1,0.004751782636563693,0.011193483301070162,0.029895217137735297,0.003385683844305442
original_firstorder_MeanAbsoluteDeviation_L2,-0.0032854786366120444,0.007810645960352692,0.014715367077836302,0.004637814351618849
original_firstorder_MeanAbsoluteDeviation_L3,-0.013138253265992165,-0.002305112349366009,0.014601554823700473,-0.0002826829761298609
original_firstorder_MeanAbsoluteDeviation_L4,-0.007918775692107239,0.00024349326534149843,0.017722579735787274,-0.0010033817386171074
original_firstorder_MeanAbsoluteDeviation_L5,-0.0004447685413190255,0.0038447235353287605,0.03195644258125405,0.004966819704379504
original_firstorder_MeanAbsoluteDeviation_Complete,-0.0036151974359151223,0.004560354131184248,0.021999868112550936,0.0021280795175439094
original_firstorder_Mean_L1,0.00929504102747008,0.00825684754262258,0.07633425537721086,0.001680766082015763
original_firstorder_Mean_L2,6.499239801426506e-05,2.477122079230917e-05,0.060229327298067424,0.003552878898308009
original_firstorder_Mean_L3,0.002475441125329945,0.0014543717000211097,0.07732249479211109,-0.000502677873210583
original_firstorder_Mean_L4,0.004605181370918922,0.003861010126494599,0.08807008883105066,0.0010188695258565145
original_firstorder_Mean_L5,0.015329359508090919,0.014604441812258978,0.0868689629127356,0.0022439811516703715
original_firstorder_Mean_Complete,0.00594826248408126,0.005233763763433241,0.07704618509214985,0.00158814330707737
original_firstorder_Median_L1,-0.010000000000000354,-0.003999999999999977,0.05999999999999961,-0.00800000000000016
original_firstorder_Median_L2,-0.016000000000000486,-0.01600000000000032,0.04999999999999975,-0.004000000000000472
original_firstorder_Median_L3,-5.773397050200038e-16,-0.004000000000000554,0.07199999999999945,-0.006000000000000377
original_firstorder_Median_L4,0.013999999999999506,-5.773397050200038e-16,0.0879999999999994,0.001999999999999411
original_firstorder_Median_L5,0.011999999999999764,0.0019999999999994935,0.07999999999999949,-0.008000000000000283
original_firstorder_Median_Complete,-0.006000000000000295,-0.008000000000000531,0.06999999999999967,-0.010000000000000312
original_firstorder_Minimum_L1,0.318000000000001,-0.5319999999999997,0.2300000000000009,-0.013999999999999506
original_firstorder_Minimum_L2,-0.3599999999999993,0.07200000000000065,-0.31599999999999895,0.03200000000000072
original_firstorder_Minimum_L3,-0.0819999999999991,0.008000000000000118,0.19600000000000084,0.06400000000000033
original_firstorder_Minimum_L4,0.10800000000000053,0.09800000000000025,0.15600000000000122,0.02600000000000018
original_firstorder_Minimum_L5,0.21200000000000074,-0.11399999999999946,0.04600000000000031,0.06200000000000042
original_firstorder_Minimum_Complete,0.2460000000000008,-0.42399999999999954,0.036000000000001274,0.028000000000000084
original_firstorder_Range_L1,-0.19600000000000298,0.30999999999999645,-0.6020000000000034,0.013999999999996208
original_firstorder_Range_L2,0.2299999999999976,0.02399999999999755,0.2699999999999944,-0.13800000000000226
original_firstorder_Range_L3,0.41399999999999815,0.001999999999999411,-0.1340000000000061,0.11199999999999408
original_firstorder_Range_L4,0.06399999999999897,-0.0020000000000020505,-0.3000000000000027,-0.32400000000000584
original_firstorder_Range_L5,-0.5840000000000035,0.06599999999999508,-0.1720000000000041,0.05199999999999854
original_firstorder_Range_Complete,-0.04800000000000368,0.3999999999999977,-0.1860000000000046,-0.31200000000000244
original_firstorder_RobustMeanAbsoluteDeviation_L1,0.0008726633520020911,0.005984163596663387,0.03165193845374961,0.0013560402240931177
original_firstorder_RobustMeanAbsoluteDeviation_L2,-0.00402095503178583,0.004299850698493769,0.02132529639807923,0.0045860419762840665
original_firstorder_RobustMeanAbsoluteDeviation_L3,-0.011314962710176728,-0.002407595092017925,0.027794219771883504,-0.0009608818386645236
original_firstorder_RobustMeanAbsoluteDeviation_L4,-0.007412370865127641,-0.0018692536700912884,0.024801368251331328,-0.001671503243087243
original_firstorder_RobustMeanAbsoluteDeviation_L5,-0.002237869577295028,0.0018209324550636267,0.04007496228727504,0.003199629355903146
original_firstorder_RobustMeanAbsoluteDeviation_Complete,-0.0030621141871222187,0.00221128528637251,0.0291573640047259,0.0011344621978760434
original_firstorder_RootMeanSquared_L1,0.010927110695209154,0.0163079586314315,0.06784135204402368,0.004145680112138594
original_firstorder_RootMeanSquared_L2,-0.001396204948389292,0.007800030286510851,0.04603106847735624,0.005463233251752535
original_firstorder_RootMeanSquared_L3,-0.007035433873621237,0.0005524303438294528,0.05619080100754049,2.0533252299593426e-05
original_firstorder_RootMeanSquared_L4,-4.874614216302331e-05,0.004694391341052093,0.06999082295987784,0.0014895466973921991
original_firstorder_RootMeanSquared_L5,0.01186303452517646,0.015217876750645409,0.07687234125306219,0.006178567513809411
original_firstorder_RootMeanSquared_Complete,0.002520459034447418,0.0086739436677946,0.06285073746995631,0.0033016213495534797
original_firstorder_Skewness_L1,0.0001656034144288955,7.829322980686283e-05,-0.0003661067453703319,6.006065272465895e-05
original_firstorder_Skewness_L2,0.00022419742491662118,0.00017607483605222026,-0.0001960135102023018,7.877073428303918e-05
original_firstorder_Skewness_L3,0.00019432455755026914,0.0001482114110079563,-0.00034351729670520766,0.00011049559781231307
original_firstorder_Skewness_L4,9.407639559225158e-05,8.732359086883288e-05,-0.00032076273731464254,0.00014302229365908162
original_firstorder_Skewness_L5,3.5681881456118456e-05,9.556768232513545e-05,-0.00045714567567966044,0.00011312962864954217
original_firstorder_Skewness_Complete,0.00014460736949798456,0.00011093160969779557,-0.00033748611933675653,9.809366820338727e-05
original_firstorder_TotalEnergy_L1,971263.9423827464,1392689.1728515404,5324698.778378993,314897.02220371616
original_firstorder_TotalEnergy_L2,-111316.0283203411,588421.319824202,3276489.0278551904,370448.2000719622
original_firstorder_TotalEnergy_L3,-618664.572265649,46303.20898433607,4357951.107061983,1427.0116913252587
original_firstorder_TotalEnergy_L4,-4186.759765696332,370922.4614257344,5125107.936245574,104554.36188083484
original_firstorder_TotalEnergy_L5,783607.3730468707,962143.0664062151,4514687.533890365,348730.4516789322
original_firstorder_TotalEnergy_Complete,1020703.9550779335,3360479.2294919975,22598934.38343208,1140057.0475268122
original_firstorder_Uniformity_L1,3.13925807298297e-06,1.2689383676783823e-06,-4.527124517224248e-06,1.5732835696683541e-06
original_firstorder_Uniformity_L2,3.471700466648365e-06,2.1151144397305946e-06,-1.7028843673758827e-06,4.302829496704508e-06
original_firstorder_Uniformity_L3,2.7672532245421344e-06,2.1256886412887324e-06,-3.7668933002166305e-06,2.6448985602387364e-06
original_firstorder_Uniformity_L4,6.806467006441656e-07,8.078955085403592e-07,-4.1659559583068725e-06,3.605427073349334e-06
original_firstorder_Uniformity_L5,6.928624356277551e-07,1.6886309563412855e-06,-7.206863020095438e-06,3.228731646426201e-06
original_firstorder_Uniformity_Complete,2.0643800568445306e-06,1.3788664665345241e-06,-4.384135840565852e-06,2.753678285338535e-06
original_firstorder_Variance_L1,3.927178842672949,8.971547351316769,11.88950896903685,2.299618099637541
original_firstorder_Variance_L2,-1.2313989171088637,6.293539959843385,2.754191638457582,2.0417587611524928
original_firstorder_Variance_L3,-8.49413819465524,-0.526962101445743,-0.04867691074743284,0.3352548302029426
original_firstorder_Variance_L4,-3.422222152918999,1.548434845284923,4.524071690841359,0.5802236810565702
original_firstorder_Variance_L5,0.36598224893300035,3.5086631888541495,11.651464572398519,3.622614248989013
original_firstorder_Variance_Complete,-1.7173022953683734,4.140701462150748,6.296069354464428,1.6686827943817244
original_glcm_Autocorrelation_L1,-1.0544795328265397,1.370371323545304,-0.3195557423227973,0.005165388708323962
original_glcm_Autocorrelation_L2,1.0313514929796008,-0.17111039671863826,0.7830895448895518,-0.08850780051536444
original_glcm_Autocorrelation_L3,0.15081890525077468,0.004604103942638552,-0.18041498890967794,-0.15563091845037585
original_glcm_Autocorrelation_L4,-0.12447744190366215,-0.08665013996369572,-0.2498120343715242,-0.00048477182308037696
original_glcm_Autocorrelation_L5,-0.31326495297430057,0.46393346772885286,-0.12387683009774059,-0.007076234629081967
