,Intercept,MODE[T.STANDARD],MACHINE[T.RevEVO],MACHINE[T.zIngCT],MACHINE[T.RevEVO]:MODE[T.STANDARD],MACHINE[T.zIngCT]:MODE[T.STANDARD],CURR,MACHINE[T.RevEVO]:CURR,MACHINE[T.zIngCT]:CURR,VOLT,MACHINE[T.RevEVO]:VOLT,MACHINE[T.zIngCT]:VOLT,FOV
original_shape_Sphericity_Complete,0.6533247916318756,1.9984014443252818e-15,0.000681026032145926,0.00042382349626168825,-8.508639811860563e-06,1.881868123376762e-05,3.4675337718429525e-18,2.2135513847935184e-07,-3.371064075130027e-17,-2.7755575615628914e-17,5.038404003404693e-07,-1.354987586335045e-06,-3.4169136172421447e-06
original_shape_SurfaceArea_Complete,206572.4615235069,5.529727786779404e-10,1141.7776581165963,-701.6060283748811,-11.408385245173122,40.98587049118942,2.151432700399538e-12,0.29661801634285545,-4.937161790508071e-13,-5.6843418860808015e-12,-4.1445930566748075,-2.9509826754119786,-3.278043211419856
original_shape_SurfaceVolumeRatio_Complete,0.676684159187509,1.887379141862766e-15,-0.00038202232825801374,-0.0009833662952260513,6.381215005679675e-06,-5.348659529502697e-06,8.2170431868678e-18,-1.6581596196003662e-07,3.206972617423188e-17,-1.734723475976807e-17,-2.901708171567101e-06,3.8510017600279153e-07,3.2045919626205017e-06
original_shape_VoxelVolume_Complete,860258.1420198501,2.444721758365631e-09,3282.5301484047086,-6909.130357290211,-11.19949106455897,154.6570574370562,9.558867786659583e-12,0.2911867675480645,-2.667199794359476e-12,-2.091837814077735e-11,-28.494358236297217,-11.135308135664218,-0.2302610597612329
original_firstorder_10Percentile_Complete,236.8222587767454,23.205555555554156,-38.72343079079337,-234.81144352955243,-10.897863247864507,38.79826399885101,0.012350000000054009,0.019650000000019333,0.04164999999995665,-0.7883499999999495,0.43795604024554446,1.5436999920827472,0.038831618159631986
original_firstorder_90Percentile_Complete,1858.198893510888,-49.83333333332678,0.7529478126425033,101.8758344246296,56.29487179486409,-52.17237567012319,0.006499999999975869,-0.01950000000006323,0.011500000000028682,-3.944000000000048,-0.419589728501252,-1.0835889517515804,-0.18863957766879813
original_firstorder_Energy_Complete,292637663407.4996,-8233330603.610191,-14495607328.22982,10796801439.524506,9922914721.30215,-9999966198.644638,1623662.687996226,2590633.5589929065,-287644.967995435,-1093641488.6285043,-3994299.135355808,-175997228.63040388,-46663295.90824925
original_firstorder_Entropy_Complete,13.61377133239515,-0.15774781265378124,0.0798637795945778,0.7955207564908102,0.10888074437043116,-0.2308904177292428,-6.757905478018886e-05,-0.0001507982839508819,-0.00016224767523627024,-0.006288633593793745,-0.0021135529994184346,-0.006149081601060188,-0.0005795173535482106
original_firstorder_InterquartileRange_Complete,801.2631891864844,-23.777777777774446,0.40720851246123857,151.32152460729282,15.470085470082267,-33.83635521547234,0.000999999999968977,-0.01800000000003852,-0.02399999999996917,-1.4695000000000493,-0.3623708541250854,-1.3140324244862067,-0.12013243975019178
original_firstorder_Kurtosis_Complete,10.338076354980617,0.3254018708425477,-0.23981893234907536,-1.0633642794149267,-0.007228923933553233,0.1256013642411098,0.00024434770173007293,-8.139513649556723e-05,0.0001515940942068705,-0.0050962671913906896,0.004482182528274443,0.007848007163312389,0.0012816299298128147
original_firstorder_Maximum_Complete,4692.6827474164165,-142.72222222220262,-73.98466127378822,810.6445684485734,131.56837606835654,-293.685748984562,-0.10800000000019366,-0.05400000000019864,-0.24349999999981342,-10.783000000000245,-0.8099921126734708,-5.561876073112797,-0.6663210641590389
original_firstorder_MeanAbsoluteDeviation_Complete,541.548730295124,-20.614051543717608,12.841381117364193,96.47118878086724,19.51576855969043,-25.203249022232626,0.0014947805204045496,-0.009891261738225363,-0.007233563564297094,-1.0147438020407582,-0.2739033995000423,-0.7846138557983657,-0.060649822332762476
original_firstorder_Mean_Complete,868.8158853956622,-3.515102020426582,-38.89081735318726,-55.56907063217011,8.993062895389983,-4.519516277958473,0.0033240526157814494,-0.0029476837558150082,0.010350854532066507,-2.092296229604881,0.15471220826053506,0.144298215026202,-0.08320850460860868
original_firstorder_Median_Complete,676.7361873500329,4.7777777777788515,-57.057797854648214,-40.275668727538346,-2.0854700854732613,-4.278325568216076,-0.005499999999987631,-0.008500000000011563,-0.009000000000005712,-1.7257500000000043,0.29834221495645813,0.06853944091142838,-0.10013433229006835
