,0,1,2,3
original_shape_SurfaceArea_L4,6.481938226896076e-14,6.481938226896076e-14,4.8614536701720564e-14,4.8614536701720564e-14
original_shape_SurfaceArea_L5,1.620484556724019e-14,1.620484556724019e-14,1.620484556724019e-14,1.620484556724019e-14
original_shape_SurfaceArea_Complete,6.481938226896076e-14,6.481938226896076e-14,1.9445814680688225e-13,1.9445814680688225e-13
original_shape_SurfaceVolumeRatio_L1,6.181658007522655e-19,6.181658007522655e-19,3.708994804513593e-19,3.708994804513593e-19
original_shape_SurfaceVolumeRatio_L2,3.708994804513593e-19,3.708994804513593e-19,3.708994804513593e-19,3.708994804513593e-19
original_shape_SurfaceVolumeRatio_L3,7.417989609027186e-19,7.417989609027186e-19,2.472663203009062e-19,2.472663203009062e-19
original_shape_SurfaceVolumeRatio_L4,4.945326406018124e-19,4.945326406018124e-19,7.417989609027186e-19,7.417989609027186e-19
original_shape_SurfaceVolumeRatio_L5,0.0,0.0,9.890652812036248e-19,9.890652812036248e-19
original_shape_SurfaceVolumeRatio_Complete,0.0,0.0,4.945326406018124e-19,4.945326406018124e-19
original_shape_VoxelVolume_L1,4.537356758827253e-13,4.537356758827253e-13,3.240969113448038e-13,3.240969113448038e-13
original_shape_VoxelVolume_L2,2.59277529075843e-13,2.59277529075843e-13,1.9445814680688225e-13,1.9445814680688225e-13
original_shape_VoxelVolume_L3,-1.9445814680688225e-13,-1.9445814680688225e-13,1.9445814680688225e-13,1.9445814680688225e-13
original_shape_VoxelVolume_L4,3.240969113448038e-13,3.240969113448038e-13,3.889162936137645e-13,3.889162936137645e-13
original_shape_VoxelVolume_L5,1.296387645379215e-13,1.296387645379215e-13,1.296387645379215e-13,1.296387645379215e-13
original_shape_VoxelVolume_Complete,1.555665174455058e-12,1.555665174455058e-12,2.59277529075843e-13,2.59277529075843e-13
original_firstorder_10Percentile_L1,-0.8949999999999996,-0.6199999999999996,-0.6974999999999997,-0.5699999999999997
